"file_name","start_date","end_date","salary_start","salary_end","classcode","req","notes","duties","selection","experience_length","education_length","application_location"
"DIRECTOR OF AIRPORT MARKETING ","2018-04-27","2018-05-10","123066.0","179943.0","1768","1. A Bachelor's Degree from an accredited college or university; and	  2. Four years of full-time paid professional experience in the development and implementation of air service related marketing, or managing logistics and the organization of trade shows or marketing events for a large organization; or overseeing projects and making recommendations to a board or commission which approves event use, renovations, tours, projects or related development or marketing activities.    Appointment to a position in this class is subject to a one-year probationary period under the provisions of Section 1011 of the City Charter.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","The Director of Airport Marketing directs professional staff in the development and implementation of an overall marketing strategy and comprehensive advertising program to increase international and domestic business opportunities to Los Angeles World Airports (LAWA); and supervise professional staff engaged in activities designed to attract and retain new business ventures to Los Angeles World Airports. An incumbent develops and implements a strategic marketing plan to guide all aspects of marketing efforts; drives strategy and executive marketing initiatives for LAX brand awareness, new projects, status updates, and rebranding campaigns; applies sound management principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; may personally perform marketing duties, and does related work.","[Interview]","Four","four","Online"
"ARTS ASSOCIATE ","2017-07-21","2017-08-03","48797.0","71326.0","2454","1. A bachelor's degree from an accredited four-year college or university with a major in Arts (design, literary, media/communication, performing, and/or visual), Cultural Studies, Literature, English, Art History, Art Administration, or a closely related field; or  2. An associate of arts degree from an accredited two-year college with a major in Arts (design, literary, media/communication, performing, and/or visual), Cultural Studies, Literature, English, Art History, Art Administration, or a closely related field, including completion of 9 semester units or 14 quarter units in the fields listed; and two years of full-time paid experience within the last ten years in assisting and coordinating a program in an organization responsible for fine arts, public art, or cultural programs and activities; or  3. Four years of full-time paid experience within the last ten years in assisting and coordinating a program in an organization responsible for fine arts, public art, or cultural programs and activities.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An Arts Associate performs a broad range of entry-level professional arts administration work in the areas of: community and public arts program coordination; cultural grant administration; performing arts and festival production; preparation and development of marketing materials; project management in public art, mural commissioning, and conservation of artworks; and art collection management and/or archives, while receiving on-the-job training and experience in preparation for career advancement in various art administration areas.","[Essay]","two","four","Online"
"ANIMAL KEEPER ","2018-08-31","2018-09-13","45810.0","66983.0","4304","1. One year of full-time paid experience in the care and maintenance of exotic animals with a facility similar to the Los Angeles Zoo whose core function is the exhibition of a variety of exotic animals; or  2. (a)	Successful completion of the Animal Keeper Training program conducted by the Los Angeles Zoo; or   	(b)	An equivalent program at an accredited school or college providing classroom and field work on the basic structure and function of exotic animals; basic nutritional requirements; recognition of the symptoms of animal diseases; sanitation measures; and aspects of animal behavior.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","An Animal Keeper cares for exotic mammals, birds, and reptiles (including venomous varieties) at the Los Angeles Zoo; observes and reports on animal behavior and condition for illnesses, compatibility, imminent birth and other signs reflecting the animal's well-being; prepares food for animals as instructed; maintains the exhibit premises in a clean and aesthetically pleasing manner; answers questions about animals from the general public; may make educational and other presentations before groups, and on radio and television; and may provide training and supervision to volunteers and students in caring for animals.","[Essay, Interview]","One",,"Online"
"POLICE OFFICER ","2006-11-09",,,,"2214",,"* Testing at some locations may be canceled without prior notice.    * For recruitment purposes, written tests may occasionally be held at other locations to be announced.  Please visit www.JoinLAPD.com for a complete listing.  * If you should apply for an entry-level, sworn public safety examination with test part(s) deemed by the City of Los Angeles Personnel Department to be the same as this examination, the test scores, test dates, test re-take allowances, and test expiration dates you receive in the common test parts will be applied to the other examination.  Those who wish to apply for more than one public safety classification may indicate this at the time of application or during the selection process by calling (213) 473-9060.      SELECTION PROCESS         1. Advisory PRELIMINARY BACKGROUND APPLICATION (PBA) and JOB PREVIEW QUESTIONNAIRE (JPQ):  The PBA includes questions regarding your background so that you can be provided a preliminary assessment of your chance for success in the complete background investigation.  The JPQ includes questions designed to help you understand the nature of the work you will be performing as a Police Officer.  When you submit your Public Safety online application at http://www.joinlapd.com/onlineapp you will then need to complete the Advisory PBQ and JPQ which must be completed online.  Once completed, you will receive immediate results regarding your responses on a confirmation page.  Be sure to print the confirmation page and take it with you to the written test site.  2. PERSONAL QUALIFICATIONS ESSAY (PQE):  This written test requires you to write essays in response to questions regarding demonstration of your personal qualifications for a law enforcement position.  Essays will be evaluated based on your reading skill, written communication skill, and demonstrated effectiveness in judgment and decision making and behavioral flexibility.  You must read the questions carefully to ensure that your answers are appropriate to the questions.  Passing the PQE requires a score of 70% or higher.  The score you receive will determine your rank on the hiring list.  We schedule candidates from this list for further processing according to score and hiring needs.  You may take the PQE once every 6 months.  Your score is valid for 18 months.  3. BACKGROUND INVESTIGATION:  The investigation begins with completion of a Personal History Statement, which requires compilation of extensive biographical information, fingerprinting, and a background interview.  The investigation includes checks of employment, police, financial, education, and military records and interviews with family members, neighbors, supervisors, co-workers, and friends.  Findings are valid for 12 months. A polygraph examination will be conducted to confirm information obtained during the selection process.  4. PHYSICAL ABILITIES TEST:  Consists of events designed to measure your strength, endurance, and agility.  The PAT consists of two portions.  The first portion is taken after placement on the eligible list and is administered at a City facility.  The second test portion, which consists of a treadmill test, will be administered usually at the time of the Medical Evaluation.  A description of the test will be provided when you are scheduled or upon request.  This description is also available on-line at http://per.lacity.org/psb_Safety.htm  You may take this test as often as is necessary to pass, and the score is valid for 12 months.    5. MEDICAL EVALUATION:  Consists of a thorough evaluation by a City physician.  It is essential that you be in excellent health, with no conditions that would restrict your ability to safely perform the work of a Police Officer.  A cardiac stress test may be required.  To remain medically qualified, you must maintain your good health during the period following the medical examination.  Medical examination results are valid for up to 12 months, at the discretion of the City's medical staff.  Part of the medical evaluation includes a PSYCHOLOGICAL EVALUATION by a City psychologist.  This evaluation consists of written tests and an individual oral interview.  You will be evaluated on the psychological factors related to successful job performance to determine if you are suited for the difficult and stressful occupation of Police Officer.  The results of the oral psychological evaluation are valid for 12 months.  Your written psychological tests are valid for up to 24 months, at the discretion of the City's psychological staff.  For candidate safety, the final portion of the PAT (treadmill test) will be conducted after receiving a medical clearance.  6. CERTIFICATION AND APPOINTMENT:  Before you can be hired as a Police Officer, you must successfully complete steps 1 through 5 above.    ADDITIONAL JOB INFORMATION     DEPARTMENT INTERVIEW: You will be interviewed by the hiring department to determine your qualifications for this position.  Only those candidates who pass the interview will receive a Conditional Job Offer.    HEALTH/PHYSICAL CONDITION:  You must be in excellent health, with no conditions that would restrict your ability to safely complete Academy training and perform police work for the Los Angeles Police Department.  Your weight (body fat content) must be appropriate for height and build and you should be in excellent physical condition.    VISION:  Your uncorrected distance vision must not exceed 20/70 in either eye and the best eye must be at least 20/40 and wearing eyeglasses you must have corrected vision to at least 20/30 in each eye.  If soft contact lenses are worn, they must have been worn for at least three months and vision must be at least 20/30 in each eye tested wearing the contact lenses and there is no uncorrected distant vision requirement.  If a LASIK procedure (refractive surgery) was performed, vision must be at least 20/30 in each eye.  In addition, candidates must be able to accurately and quickly name colors, and must be free from other visual impairments that would restrict the ability to perform law enforcement",,,,"four","Mail or In Person"
"FINANCIAL MANAGER ","2016-07-01","2016-07-14","87361.0","127702.0","1557",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. The salary range covers multiple pay grades within the class.   3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Interview]","Three","four","Online"
"RIDESHARE PROGRAM ADMINISTRATOR ","2018-02-09","2018-02-22","103669.0","151567.0","2485","1. Graduation from an accredited four-year college or university;  and   2. Two years full-time paid professional experience at the level of Senior Management Analyst in an organization with at least 5,000 employees administering the activities of a comprehensive employee transportation management program which includes vanpool, carpool, public transportation subsidy, parking management or other employee rideshare services.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","The Rideshare Program Administrator plans, organizes, and directs the work of professional, technical, and clerical staff engaged in providing comprehensive rideshare transportation services and programs for City employees as set forth in the City's Trip Reduction Plan, or plans, develops, and administers specific services and programs contained in the Plan; promotes the increased use of trip reduction measures at all levels of City government; directs the administrative operations of the City's Employee Parking Program; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay]","three","four","Online"
"COMMUNICATIONS ELECTRICIAN ","2018-05-25","2018-06-07","94899.0","100182.0","3686","1. Four years of full-time paid experience in maintenance, repair, and installation of any of a wide variety of electronics and communications systems including video, conventional and trunking two-way radio, microwave radio, telephone systems, monitoring systems, public address, data networks, video and access systems including programming, configuration or troubleshooting of communications systems; or  2. Two years of full-time paid experience of the type specified in Requirement #1, and  a. Completion of a certificate program or associate degree program in electronics technology, telecommunications, or computer science at an accredited college or trade school; or  b. Successful completion of a U.S. military electronics technical course of 24 weeks or longer within the last 10 years.","1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Communications Electrician does skilled work in the maintenance, repair, installation, configuration and programming of communications systems and equipment such as microwave radio, conventional and trunking two-way radio, VoIP telephony, SONET, SCADA, data networks, radio communications transmitters/receivers and systems, PBX telephone switches, multiplexing, audio and video, CCTV and CAD.","[Written, Interview]","Four",,"Online"
"MARINE AQUARIUM PROGRAM DIRECTOR ","2017-08-25","2017-09-07","64686.0","94586.0","2403",,"The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting offer.",,"[Interview]","two","four","Online"
"STRUCTURAL STEEL FABRICATOR SUPERVISOR ","2017-06-02","2017-06-15","102959.0","108701.0","3794","Four years of full-time paid experience as a journey-level structural steel fabricator.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Structural Steel Fabricator Supervisor assigns, reviews and evaluates the work of a group of employees engaged in rigging and the fabrication, repair, alteration, and assembly of structural steel members and shapes; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Four",,"Online"
"PLUMBER SUPERVISOR ","2018-10-05","2018-10-18",,,"3446","1. Four years of full-time paid experience as a journey-level plumber; and  2. A valid Certificate of Qualification as a journey-level plumber issued by the City of Los Angeles Department of Building and Safety.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Plumber Supervisor assigns, reviews and evaluates the work of Senior Plumbers, Plumbers and helpers engaged in the layout, installation, repair, and maintenance of sanitary and industrial plumbing systems, process piping and fuel dispensing systems, including air, gas, water, steam, industrial waste, gasoline and oil pipelines; determines procedures and methods to use in installing plumbing systems; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Four",,"Online"
"SURVEY PARTY CHIEF   ","2016-09-30","2016-10-13","72621.0","106175.0","7286","Two years of full-time paid experience as a member of a land survey party at the level of Land Surveying Assistant.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Survey Party Chief assigns, reviews, and evaluates the work of Land Surveying Assistants and Field Engineering Aides in survey parties engaged in making preliminary, construction, property, topographic, hydrographic, photogrammetric, global positioning system, and geodetic surveys and in keeping notes and records of such surveys; may perform global positioning system and/or geodetic calculations in the office, and research survey data from record sources and other survey calculations; interprets and writes legal descriptions and applies sound boundary control principles; applies sound supervisory principles and techniques in building and maintaining a safe and effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Two",,"Online"
"VIDEO TECHNICIAN ","2017-01-27","2017-02-09","52951.0","77402.0","6145","Two years of full-time paid video production experience, including the operation, use, and care of video production equipment.  	  A certificate from a recognized broadcast television training program or a closely related field may substitute for one year of the required experience.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Video Technician operates municipal access equipment for City departments, City Council offices, the Mayor, and other City sponsored public meetings and events; performs off-line and on-line editing; oversees and performs related tasks in a particular area of municipal access operations, such as field production, directing and producing City Council and other meeting coverage, or post-production; acts as a liaison to City departments, the Mayor's Office and City Council offices in providing related services; provides technical assistance in the operation and maintenance of equipment; and does related work.",,"Two",,"Online"
"SENIOR ELECTRICAL REPAIR SUPERVISOR ","2018-06-01","2018-06-14","130875.0","138162.0","3856","Two years of full-time paid experience as an Electrical Repair Supervisor with the City of Los Angeles.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Senior Electrical Repair Supervisor supervises and coordinates the work of several supervisors and their crews engaged in shop and field maintenance and repair of electrical equipment and auxiliaries; applies sound supervisory techniques in building and maintaining an effective workforce; and fulfills Equal Employment Opportunity responsibilities.",,"Two",,"Online"
"SENIOR COMMUNICATIONS CABLE WORKER ","2016-10-21","2016-11-03","89784.0","111540.0","3801","Two years of full-time paid experience as a Communications Cable Worker with the City of Los Angeles.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Senior Communications Cable Worker acts as lead for, trains, and works with Communications Cable Workers and Assistant Communications Cable Workers doing skilled work in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of outside plant overhead and underground fiber optic and paired copper communications cables, lines, and appurtenant equipment including the telephone, data, alarm, carrier, supervisory, telemetry, and control circuits contained within these cables and lines; coordinates work group activities with others; demonstrates safety policies.",,"Two",,"Online"
"SOLID RESOURCES SUPERINTENDENT ","2017-03-10","2017-03-30","88218.0","125551.0","4102","Two years of full-time paid experience with the City of Los Angeles as a Refuse Collection Supervisor or in a class at that level supervising the collection, disposal, processing, transformation or related Solid Resources collection activities involved in municipal wastes.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Solid Resources Superintendent plans, organizes, directs and coordinates the work of Solid Resources collection personnel engaged in Citywide Solid Resources collection, recycling and disposal programs or activities; prepares and monitors budgetary activities for the respective programs or activities; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Two",,"Online"
"COMMUNICATIONS ELECTRICIAN SUPERVISOR ","2017-01-27","2017-02-09","115570.0","122022.0","3689","1.	Two years of full-time paid experience in the class of Senior Communications Electrician with the City of Los Angeles, engaged in the supervision of technical work on communications equipment and systems; or  2. Four years of full-time paid experience in a class at the level of Communications Electrician with the City of Los Angeles, engaged in the installation, construction, operation, repair, maintenance or modification of communications equipment.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Communications Electrician Supervisor assigns, reviews and evaluates the work of one or more groups of employees engaged in the construction, installation, operation, repair, maintenance, and modification of radio, microwave transmission, Local Area Network/Wide Area Network data distribution systems, telephone networks, audio, TDD equipment, avionic electronics, intrusion alarm systems, mobile digital terminals, dispatch networks, copper and fiber-optic cable systems, video distribution systems, supervisory control and data acquisition (SCADA) and transmission systems; applies sound supervisory principles and techniques in building and maintaining an effective work force, fulfills equal employment opportunity responsibilities, and does related work.","[Test, Interview]","Two",,"Online"
"SIGNAL SYSTEMS SUPERVISOR ","2018-09-28","2018-10-11",,,"3839","Two years of full-time paid experience as a Signal Systems Electrician with the City of Los Angeles.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Signal Systems Supervisor assigns, reviews and evaluates the work of several traffic signal crews engaged in installing, maintaining, and repairing electric and electronic traffic signals and controllers on a regular or emergency basis; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. A Signal Systems Supervisor may supervise other Signal Systems Supervisors to plan and coordinate this type of work in a large area of the City or the Traffic Signal Lab.","[Essay]","Two",,"Online"
"REAL ESTATE TRAINEE ","2017-12-29","2018-01-11","46708.0","68319.0","1937","1. One year of full-time paid experience in a class at the level of Principal Clerk and performing duties related to real estate activities such as escrow, title examining, appraising, relocation assistance, property management, negotiation, lease administration, or maintenance of land records; or  2. Three years of full-time paid experience in a class at the level of Senior Clerk performing duties as indicated above.    One year of education at an accredited university or college which includes three semester or four quarter units in real estate may be substituted for each year of experience lacking at the level of Senior Clerk up to a maximum of two years.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Real Estate Trainee assists technical real estate employees engaged in appraising, negotiating, and managing real property, title examining, and relocation assistance.","[Essay, Interview]","One",,"Online"
